The number of train datas: 14832
The number of test datas: 3708
epoch	train_loss	train_acc	val_loss	val_acc
0	0.6968146675741531	0.5198894281346178	0.6736555136780394	0.6297195261221745
1	0.6729277279127506	0.5831310681540604	0.6462618165288799	0.6949838183201376
2	0.6412968760941021	0.6461030206891196	0.5995560421527011	0.7667206034562606
3	0.5870292314047952	0.7086030206248213	0.526227737964807	0.8244336572151225
4	0.5193730033974303	0.7668554477449888	0.43990656891044033	0.8654261063603521
5	0.43120727955716326	0.8258495144345099	0.3633087952224439	0.8859223294541031
6	0.36318128162988955	0.8629314994606256	0.3127060510708419	0.893743258463912
7	0.3101666412178624	0.8904395902041092	0.2835403879322795	0.9088457392643184
8	0.2756070348533612	0.9026429340677354	0.2611463830083962	0.9185544768712024
9	0.24841325671413056	0.9197680691042122	0.24536542456191207	0.9231391591547377
10	0.22622609569288252	0.9286003236888939	0.23479122707887504	0.9314994601755852
11	0.21349760009118526	0.9335895363309751	0.22769573816332359	0.9363538285932366
12	0.20455937375271332	0.94080366755252	0.218503205473369	0.940129449130905
13	0.19141648126265765	0.9453209276595419	0.2120126155812892	0.9420172590139486
14	0.1788637047671706	0.9486245954692557	0.21997620232057674	0.9444444452160256
15	0.17440978536520962	0.9493662349743107	0.20282642982956403	0.946062566714508
16	0.17175596865635473	0.9530744335926595	0.19957628633983698	0.9479503783336092
17	0.16469671351366957	0.9555016179943805	0.1994400532693153	0.9490291269851734
18	0.15861426149178476	0.956850054001731	0.19001910728608393	0.9479503773691328
19	0.15567807695690739	0.9594795039685156	0.19104122500685813	0.9519956840409173
20	0.15498237627706096	0.9599514561820828	0.1870037201940692	0.9525350583666994
21	0.1465851332682879	0.9612998920608364	0.18395093564816148	0.9514563097151352
22	0.1458931675958402	0.9622437972595519	0.18322675064318644	0.9541531830801033
23	0.1399792014684492	0.9629854368932039	0.18438627612661518	0.9533441215914301
24	0.13738037172419612	0.9633899677661373	0.18376469895034675	0.9538834959172122
25	0.13466521487958094	0.9651429342606307	0.1776509261986456	0.9536138087543212
26	0.1327627066044617	0.9664239480914678	0.1816732203336724	0.9536138084971275
27	0.13390902387221398	0.964940668824164	0.1836766782412637	0.9533441210770427
28	0.12855324745499716	0.9668284788358045	0.17201553726369895	0.9544228685069367
29	0.1253915865058652	0.9668284788358045	0.17460336141537436	0.9563106801260379
30	0.12377073127121344	0.9690533981225509	0.17022510630831106	0.9546925571486916
31	0.12474050730900857	0.9688511326860841	0.17321057770373108	0.9563106801260379
32	0.12375028644404108	0.9675026969359274	0.1701074975754708	0.9563106801260379
33	0.12206865047800888	0.9675701187266501	0.1701194055884787	0.95685005445182
34	0.12130251329114908	0.9689185546054038	0.16917716320342874	0.9555016186373648
35	0.11707120534623325	0.9696601942390557	0.1658614325018634	0.9557713058002558
36	0.11573759726818325	0.9704692555348335	0.17397756933233627	0.954962244054389
37	0.11537550968452565	0.9695927723197361	0.16662560091499629	0.9565803672889289
38	0.11434028557267646	0.9705366775184516	0.16682067974003387	0.9563106798688442
39	0.1119045125081444	0.971548004379293	0.1628725183595217	0.9557713058002558
40	0.10995524931204743	0.9716828478964401	0.16440981309840852	0.9563106801260379
41	0.10998540959183324	0.9715480041863978	0.16549583943209087	0.9560409927059531
42	0.11067157241936769	0.9704018336798124	0.1607486309791074	0.9563106801260379
43	0.10700711296085658	0.9716154259128221	0.1605001881782934	0.9560409929631469
44	0.106571763118944	0.9716828477678433	0.16151537683500056	0.95685005445182
45	0.10563513365731914	0.9724919095137101	0.16211777816987732	0.95685005445182
46	0.10634252473213654	0.972963861984471	0.16060102807343843	0.95685005445182
47	0.10241215689732676	0.9736380797631018	0.16393413903450887	0.9555016183801711
48	0.10327063616618369	0.9734358143909335	0.16080913613143477	0.95685005445182
49	0.10094216197504066	0.9730987053087228	0.163811751939718	0.95685005445182
50	0.09942409889662021	0.9746494068811369	0.1598596901601701	0.95685005445182
51	0.10070363032714963	0.973300970809488	0.16392054440134166	0.954962244054389
52	0.09774835470424886	0.9741100322981611	0.16054786634837412	0.9576591159404931
53	0.102986970303546	0.9735706578437822	0.15755385817897616	0.9573894285204084
54	0.09743888063723986	0.9750539375611751	0.16323770515162583	0.9563106798688442
55	0.0959203715527585	0.9744471414446703	0.15856597409407813	0.9571197413575173
56	0.09558989143776662	0.9749865157061539	0.16417041187051046	0.9536138082399337
57	0.09295877868946574	0.975593311565465	0.16473265943050128	0.9530744339141517
58	0.09154614105322342	0.9757281552755074	0.16021133431242507	0.9557713055430621
59	0.09253251367121003	0.9751887810140237	0.1626989657165806	0.9557713055430621
60	0.09170335237873153	0.975593311565465	0.16166884874866747	0.9563106798688442
61	0.09233084019623142	0.9749865155132585	0.16370744261380282	0.9533441210770427
62	0.09217806517306269	0.9752562028047465	0.15894946736457408	0.9557713055430621
63	0.088371565621728	0.9760652642934197	0.1598124243198475	0.9560409927059531
64	0.0890607954100369	0.9759978423098016	0.16005822645646983	0.954962244054389
65	0.08956075744641123	0.976739482007752	0.1567400843708775	0.9565803675461227
66	0.08859522981084923	0.976469794844861	0.15705405268114875	0.9571197418719047
67	0.08641461071587432	0.9753236245954693	0.1629966042108006	0.9530744339141517
68	0.08725542985023418	0.976739482007752	0.15704911622543294	0.9560409927059531
69	0.0866172435174032	0.9762001079391636	0.15780009084984967	0.9560409927059531
70	0.08423286852423813	0.9769417474442187	0.15464442819678412	0.9571197413575173
71	0.08529369687780079	0.9756607336133815	0.15368747002291447	0.9565803658100651
72	0.0827320712943036	0.9769417476371139	0.1582700431813057	0.954962244054389
