The number of train datas: 4508
The number of test datas: 1128
epoch	train_loss	train_acc	val_loss	val_acc
0	0.7049824661561209	0.5106477373558119	0.6909819646930018	0.5203900709219859
1	0.7017896779364152	0.5066548357680506	0.6885893852152722	0.5310283677375063
2	0.6952258889508015	0.5241792368328243	0.6867720869416041	0.5549645402752761
3	0.6892479607883342	0.541259982280215	0.6850112401847298	0.5629432630454395
4	0.6896680818264106	0.5326086957050618	0.6829581958182315	0.5842198587901203
5	0.6871251856318171	0.5476929901866862	0.6804000523918909	0.5939716307829458
6	0.6845962592427881	0.5465838510903407	0.6773087699362572	0.6143617017049317
7	0.6813451712810581	0.5652173911985721	0.6741892450244714	0.6267730490112982
8	0.6777470986612518	0.5767524400535895	0.670839417910745	0.6374113483631865
9	0.671180630269681	0.5936113574807371	0.666667733632081	0.6462765959560448
10	0.671226499084889	0.5925022183843915	0.662501151257373	0.6471631214128318
11	0.6665619208734439	0.6051464063093106	0.6577434653931475	0.6569148946738412
12	0.6585570792233721	0.6180124222015848	0.6520555556243193	0.6702127670142668
13	0.6485886554222987	0.6319875776926395	0.6437845830376266	0.6879432611431636
14	0.6434012659905542	0.6399733806037226	0.635967493057251	0.6746453911277419
15	0.6352714006627885	0.6490683228227028	0.6254574254894933	0.7030141835517072
16	0.6260075116432549	0.6694764864053362	0.6143785017601987	0.7118794338922974
17	0.6078242213723928	0.6865572316940632	0.6004653983082332	0.7234042527827811
18	0.601832428413254	0.68101153510169	0.5865313021849233	0.7358156015686955
19	0.5860462746158996	0.7025288376220054	0.5722080342313076	0.7517730483772062
20	0.5681739273384385	0.7278172138949465	0.5552280384598048	0.7606382957587006
21	0.5513085200919868	0.7375776398573286	0.5381575920057635	0.7703900709219859
22	0.5354170409471669	0.7415705413657581	0.5203984523495884	0.775709219858156
23	0.5151778925491204	0.7588731146218403	0.5021668478106776	0.7881205673758865
24	0.49050137091233015	0.7763975153692867	0.483775646974009	0.7943262411347518
25	0.48410081244615083	0.7768411713568849	0.4680867499493538	0.7978723400028039
26	0.45798268361544336	0.7950310557948453	0.44806509998673244	0.8058510663661551
27	0.4355412033562546	0.8105590063169559	0.43053501675314937	0.8164893642384955
28	0.4073991831838291	0.822094054854646	0.412441722467436	0.8280141839744352
29	0.4023888726465027	0.8247559892464869	0.3982600269588173	0.8333333350242452
30	0.38786374356435693	0.8367346938246631	0.38306261355995286	0.8359929065332345
31	0.3723748971269315	0.8396184560780834	0.3730904350044034	0.851063830209962
32	0.3505194236350038	0.8573646850573244	0.35770510824014107	0.8563829791461323
33	0.3335448794642062	0.8622448981178473	0.3433375798218639	0.8590425536142173
34	0.32284009028242666	0.87200532381579	0.33106842066379305	0.8652482261048987
35	0.31167585662538855	0.8742236023258084	0.3242778406075552	0.8617021263913905
36	0.2966188643368981	0.8817657497252842	0.32178371256970345	0.8714538994410359
37	0.28449647843890624	0.894409937782423	0.30281116163476984	0.875000000422728
38	0.2779127387685276	0.8901952085710778	0.29843193229208603	0.8856382966041565
39	0.2606264602958151	0.9055013311258331	0.28645273261036436	0.8847517734723733
40	0.2580068420946016	0.9088287488379728	0.28128321458261907	0.8900709207176317
41	0.2446229470812756	0.908828748732197	0.2756838519522484	0.8936170233902356
42	0.23558149105326306	0.916592724151916	0.2680496702380214	0.8971631214128318
43	0.23547486885522675	0.9132653061753369	0.26220424800899855	0.900709220703612
44	0.214311451804035	0.9239130436369245	0.256181482516282	0.9051418427034472
45	0.20921017275833936	0.9279059448280267	0.2585733053109325	0.9060283709079662
46	0.20313563512534089	0.9276841172308867	0.24622379866897637	0.9095744668169224
47	0.19912433836480212	0.9316770186335404	0.24843547847254058	0.9140070943122215
48	0.19114917572240653	0.9303460515169518	0.23931091516575914	0.9122340446668313
49	0.1879286529378967	0.9365572317469512	0.2362441585419026	0.9166666687803066
50	0.18372646450150193	0.9358917478448856	0.24377499045209683	0.9157801431121556
51	0.1797114031516617	0.9403283052351376	0.23383324080747916	0.9148936191349165
52	0.17077863843121566	0.9421029282335486	0.23337846423717254	0.9202127672256307
53	0.17254504831152462	0.9427684116596232	0.22379510347724807	0.9210992928937818
54	0.16610730827489362	0.9421029279691092	0.2246541366086784	0.9210992907801419
55	0.1618430739154621	0.9483141080933328	0.21873164663078093	0.9219858177164768
56	0.15284997881939694	0.9516415262814635	0.23032421243528947	0.9237588656709549
57	0.15529409833682145	0.9498669031243887	0.2160087669572086	0.924645390070922
58	0.15633872596955237	0.9514196982612204	0.21696270061722883	0.9264184376026722
59	0.14845389308872325	0.9503105591119869	0.21386500558954605	0.9273049624253672
60	0.14783628721256223	0.9503105588475476	0.21100736552096427	0.923758863980043
61	0.1437001593258916	0.9560780835130517	0.20801961781285333	0.9264184418299519
62	0.14326090622154505	0.9569653949593694	0.20781712794134802	0.9246453921845619
63	0.13858222252728142	0.9580745342672664	0.21309570069854142	0.9290780167207651
64	0.13485643321841612	0.9591836733107241	0.20458376132850106	0.928191491475342
65	0.13880613349054172	0.9596273291925466	0.21449013561644453	0.9299645373161803
66	0.13335397144070535	0.9591836733107241	0.20306367390121974	0.9308510617161474
67	0.13479765072570718	0.9574090505767524	0.2055264395390842	0.9290780154525811
68	0.1283877997889705	0.9616237800525371	0.20268670908102754	0.9299645368934523
69	0.12149874764199582	0.9633984028922845	0.20318579377857507	0.9308510650979712
70	0.11679032020528653	0.9651730258378077	0.20614302855856875	0.9290780133389412
71	0.12285154616954375	0.9627329193604341	0.19848848276949943	0.9352836900569023
72	0.12362070591870725	0.9629547472220136	0.20342136116315288	0.9281914885162462
