The number of train datas: 14182
The number of test datas: 3546
epoch	train_loss	train_acc	val_loss	val_acc
0	0.6965341680208932	0.5255958256609197	0.6750915533260511	0.6077270160875143
1	0.6706121938804565	0.5807361443663767	0.6474959101975468	0.6971235192232191
2	0.639353617073837	0.6472993937404145	0.6007626836271657	0.7602932877750365
3	0.5876537468197685	0.7120293328900243	0.5239108260647429	0.8372814434097772
4	0.5090974861586015	0.7792271892521113	0.4262482567621501	0.8756345172622281
5	0.4173757609065573	0.8336623889941656	0.33718907283445704	0.8950930621014835
6	0.3349271217449615	0.8739952050215636	0.2745064029872451	0.9080654253276539
7	0.2822832420915933	0.895994923192445	0.23926917370671413	0.9187817253168196
8	0.24200696242307845	0.9145395570254564	0.22667724574042522	0.923011843659282
9	0.20744794986468582	0.9307572980253875	0.20612288527379785	0.931754088442136
10	0.18804151077622538	0.9349880127640507	0.18597420057501418	0.9388042866208764
11	0.1777425323129793	0.9404174305709793	0.18211622693346372	0.9416243655830874
12	0.1598343334523634	0.9482442532956155	0.17385954238806348	0.9455724761301827
13	0.14706929819428555	0.9522634323267654	0.16786050314931497	0.9483925550923936
14	0.14087115636376732	0.9560710758101097	0.16272297817152634	0.9509306261583835
15	0.12830561208230723	0.9593146242051077	0.15852051923756402	0.9520586577432679
16	0.12708497582865844	0.9598787193018599	0.15911508022528614	0.9520586569364368
17	0.1206274564356818	0.9643209700506407	0.15226698915163675	0.9562887753797532
18	0.11630146670469257	0.9651671132673549	0.14591055724389526	0.9557247603941421
19	0.11016758069124936	0.9681286135339852	0.14448742488230007	0.9574168069646376
20	0.10635421559279735	0.9674940062937658	0.16104606757947973	0.9534686964175423
21	0.1036949042914331	0.9704555067873492	0.141569301137229	0.9596728701344064
22	0.10176180125947161	0.9692568042066131	0.15100948201798142	0.958544838549522
23	0.09230356758554703	0.9743336623973494	0.14251295538084424	0.9608009017192908
24	0.09236391918964085	0.9729939359835855	0.14513178234021676	0.9599548787702226
25	0.09197166550207367	0.9737695668466907	0.1354429768435174	0.9633389727852806
26	0.08819947581401481	0.9744746860202353	0.13714552426146573	0.9622109412003962
27	0.08523902592794665	0.97651953180928	0.13938322414954504	0.9627749577324335
28	0.0851776933547321	0.9765195318176857	0.1393313614102117	0.9624929490629993
29	0.08022766219781158	0.9779297699378217	0.1393209428532239	0.9624929490629993
30	0.07984572821633636	0.9777182343984219	0.13548376275677165	0.9633389727516626
31	0.07383852612272908	0.979833591675291	0.1523878840751656	0.9582628306196829
32	0.07473009654642951	0.9806797348835996	0.1299896449043935	0.9653130287984234
33	0.0717512606395567	0.980679734665052	0.13771490836952005	0.9622109411667782
34	0.07252061346703685	0.9809617825412494	0.13349968796302825	0.9630569648554416
35	0.07168668620430217	0.9806092229670857	0.13070554554134658	0.9658770438176525
36	0.06993893446604862	0.9824425327880412	0.13925592500445402	0.9613649174781149
37	0.0655245406156769	0.9818784372457882	0.13871547391924963	0.9622109411667782
38	0.06419125655903717	0.9822309970384995	0.14891840364559183	0.961646925374336
39	0.06510075773482195	0.9818784374727414	0.12755358521498264	0.9672870832987579
40	0.06483857382307973	0.9830771400450719	0.12893761744858245	0.9672870832987579
41	0.06284076269603599	0.9837117472852912	0.14139800322296184	0.961646925374336
42	0.06232174709539095	0.9835002115357495	0.12851632779145805	0.9661590517138735
43	0.059647798366679695	0.9846989141164857	0.1315204806214023	0.9653130280252102
44	0.061615491069736676	0.9842758426342136	0.14010809070929187	0.9622109411667782
45	0.05786538894254488	0.9844168664588357	0.1313993629557698	0.9641849964403258
46	0.05673468428893883	0.9850514734889132	0.13131827637721305	0.9647490122327681
47	0.05486171933117177	0.9864617120377386	0.13713473289599878	0.9641849964403258
48	0.057010024025019174	0.9856860807375383	0.13354340869065603	0.9641849964403258
49	0.05283045960177052	0.9873078550359053	0.13188819642490204	0.964467004336547
50	0.05447753193126152	0.9868142716119024	0.13028067902772694	0.9647490122327681
51	0.054594085537745106	0.9862501760696494	0.12675520311463234	0.9664410596100946
52	0.053725770379790566	0.9861091522366217	0.12643730912926973	0.9667230675063158
53	0.050122730267928794	0.9862501760696494	0.13263101691723678	0.9647490122327681
54	0.054414269170143206	0.9864617118191911	0.12502616728160654	0.967569091194979
55	0.047651881015051946	0.9884360457001276	0.13330536615576236	0.9650310201289892
56	0.04756529852926538	0.9885065576166414	0.12772870982812745	0.9670050754025369
57	0.0495039303919048	0.9887886052742914	0.12903329696836138	0.9664410596100946
58	0.04971938909225438	0.9880834861091524	0.13202264087639215	0.9647490122327681
59	0.04665423427662347	0.9897757721138914	0.13128615699359675	0.9655950359214314
60	0.04570609093513043	0.989634748272458	0.1258271785733462	0.9689791306760845
61	0.04639946875699467	0.9884360454899856	0.1382023487649795	0.9627749569592204
62	0.04497551209904162	0.9899873076448856	0.12700116362273525	0.9684151148836423
63	0.04448449346517293	0.9886475814496692	0.12889321824326666	0.9678510990912002
64	0.044666549098416435	0.9887886050641495	0.12817146096460508	0.9686971227798634
65	0.04535552914468581	0.9887886050641495	0.1396918797805628	0.9633389727516626
66	0.04223406969284225	0.990339867227455	0.12713310712485143	0.9686971227798634
67	0.04406702026415907	0.9892116765632328	0.13020576965284428	0.9678510990912002
68	0.042162166442131055	0.9897052599872357	0.13643216729180932	0.9650310201289892
69	0.04230795537745847	0.9895642361458022	0.12613855250225992	0.9695431464685267
70	0.04236238407442078	0.9904808912706248	0.13079847553844715	0.9672870832987579
71	0.03780764930697292	0.9909039625595661	0.13189145419231862	0.9667230675063158
